순번,일자,펀드코드,펀드명,운용역,KOSPI지수,KOSDAQ지수,KOSPI200지수,기준가격,증감,과표기준가,증감,해외비과세과표기준가,증감,비거주자과표기준가,수정기준가,순자산,수탁사,설정일,설정좌수,설정액,펀드유형,과표구분,신탁구분,사무수탁사,주식비율,채권비율,주식순비율,채권순비율,지수선물순비율,국고채3년금리,국고채5년금리,통안채2년금리,CD91,전일대비수익률,주간수익률(%),1개월수익률(%),3개월수익률(%),12개월수익률(%),BM기준가,전일대비BM수익률(%)
1,2021-07-29,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,242.65","1,044.13",429.49,"1,000.01",0.01,"1,000.01",0.01,0.00,0.00,0.00,"1,000.01","30,500,192,191",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,0.00,0.00,0.00,0.00,0.00,1.43,1.66,1.28,0.70,0.00,0.00,0.00,0.00,0.00,"1,001.79",0.18
2,2021-07-30,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,202.32","1,031.14",423.91,"1,000.02",0.01,"1,000.01",0.00,0.00,0.00,0.00,"1,000.02","30,500,466,143",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,0.23,0.00,0.23,0.00,0.00,1.42,1.64,1.26,0.70,0.00,0.00,0.00,0.00,0.00,989.33,-1.24
3,2021-07-31,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,202.32","1,031.14",423.91,"1,000.02",0.00,"1,000.02",0.01,0.00,0.00,0.00,"1,000.02","30,500,658,335",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,0.23,0.00,0.23,0.00,0.00,1.42,1.64,1.26,0.70,0.00,0.00,0.00,0.00,0.00,989.33,0.00
4,2021-08-01,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,202.32","1,031.14",423.91,"1,000.03",0.01,"1,000.03",0.01,0.00,0.00,0.00,"1,000.03","30,500,850,526",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,0.23,0.00,0.23,0.00,0.00,1.42,1.64,1.26,0.70,0.00,0.00,0.00,0.00,0.00,989.33,0.00
5,2021-08-02,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,223.04","1,037.80",426.79,"1,000.01",-0.02,"1,000.03",0.00,0.00,0.00,0.00,"1,000.01","30,500,210,582",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,1.53,0.00,1.55,0.00,0.00,1.44,1.65,1.27,0.70,0.00,0.00,0.00,0.00,0.00,995.73,0.65
6,2021-08-03,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,237.14","1,036.11",429.98,999.95,-0.06,"1,000.04",0.01,0.00,0.00,0.00,999.95,"30,498,421,801",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,2.30,0.00,2.35,0.00,0.00,1.44,1.66,1.28,0.70,-0.01,0.00,0.00,0.00,0.00,"1,000.09",0.44
7,2021-08-04,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,280.38","1,047.93",436.05,"1,000.54",0.59,"1,000.04",0.00,0.00,0.00,0.00,"1,000.54","30,516,453,603",한국투자증권,2021-07-29,"30,500,000,000","30,500,000,000",혼합,배당,투자신탁,국민은행,8.76,0.00,9.45,0.00,0.00,1.42,1.64,1.26,0.70,0.06,0.00,0.00,0.00,0.00,"1,013.45",1.34
8,2021-08-05,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,276.13","1,059.54",434.74,"1,000.65",0.11,"1,000.05",0.01,0.00,0.00,0.00,"1,000.65","37,020,365,406",한국투자증권,2021-07-29,"36,996,495,385","36,996,495,385",혼합,배당,투자신탁,국민은행,8.19,0.00,8.75,0.00,0.00,1.41,1.65,1.26,0.70,0.01,0.06,0.00,0.00,0.00,"1,012.13",-0.13
9,2021-08-06,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,270.36","1,059.80",433.29,"1,000.75",0.10,"1,000.06",0.01,0.00,0.00,0.00,"1,000.75","60,526,481,306",한국투자증권,2021-07-29,"60,481,343,036","60,481,343,036",혼합,배당,투자신탁,국민은행,5.90,0.00,5.97,0.00,0.00,1.43,1.67,1.28,0.70,0.01,0.07,0.00,0.00,0.00,"1,010.35",-0.18
10,2021-08-07,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,270.36","1,059.80",433.29,"1,000.75",0.00,"1,000.06",0.00,0.00,0.00,0.00,"1,000.75","60,526,844,465",한국투자증권,2021-07-29,"60,481,343,036","60,481,343,036",혼합,배당,투자신탁,국민은행,5.90,0.00,5.97,0.00,0.00,1.43,1.67,1.28,0.70,0.00,0.07,0.00,0.00,0.00,"1,010.35",0.00
11,2021-08-08,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,270.36","1,059.80",433.29,"1,000.76",0.01,"1,000.07",0.01,0.00,0.00,0.00,"1,000.76","60,527,207,625",한국투자증권,2021-07-29,"60,481,343,036","60,481,343,036",혼합,배당,투자신탁,국민은행,5.90,0.00,5.97,0.00,0.00,1.43,1.67,1.28,0.70,0.00,0.07,0.00,0.00,0.00,"1,010.35",0.00
12,2021-08-09,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,260.42","1,060.00",431.65,"1,000.55",-0.21,"1,000.07",0.00,0.00,0.00,0.00,"1,000.55","60,514,643,843",한국투자증권,2021-07-29,"60,481,343,036","60,481,343,036",혼합,배당,투자신탁,국민은행,10.45,0.00,11.05,0.00,0.00,1.44,1.67,1.27,0.70,-0.02,0.05,0.00,0.00,0.00,"1,007.28",-0.30
13,2021-08-10,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,243.19","1,052.07",428.56,"1,002.87",2.32,"1,000.08",0.01,0.00,0.00,0.00,"1,002.87","60,654,992,187",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,11.73,0.00,12.47,0.00,0.00,1.43,1.66,1.26,0.71,0.23,0.29,0.00,0.00,0.00,"1,001.96",-0.53
14,2021-08-11,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,220.62","1,051.92",424.74,"1,005.47",2.60,"1,000.09",0.01,0.00,0.00,0.00,"1,005.47","60,811,975,281",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,13.38,0.00,13.68,0.00,0.00,1.42,1.67,1.25,0.71,0.26,0.49,0.00,0.00,0.00,994.98,-0.70
15,2021-08-12,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,208.38","1,054.09",422.38,"1,005.57",0.10,"1,000.10",0.01,0.00,0.00,0.00,"1,005.57","60,818,239,201",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,13.97,0.00,14.18,0.00,0.00,1.41,1.66,1.25,0.72,0.01,0.49,0.00,0.00,0.00,991.20,-0.38
16,2021-08-13,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,171.29","1,040.78",416.06,"1,003.06",-2.51,"1,000.11",0.01,0.00,0.00,0.00,"1,003.06","60,666,154,301",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,15.38,0.00,15.73,0.00,0.00,1.41,1.67,1.25,0.73,-0.25,0.23,0.00,0.00,0.00,979.74,-1.16
17,2021-08-14,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,171.29","1,040.78",416.06,"1,003.07",0.01,"1,000.13",0.02,0.00,0.00,0.00,"1,003.07","60,666,961,240",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,15.38,0.00,15.73,0.00,0.00,1.41,1.67,1.25,0.73,0.00,0.23,0.00,0.00,0.00,979.74,0.00
18,2021-08-15,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,171.29","1,040.78",416.06,"1,003.08",0.01,"1,000.14",0.01,0.00,0.00,0.00,"1,003.08","60,667,768,180",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,15.38,0.00,15.73,0.00,0.00,1.41,1.67,1.25,0.73,0.00,0.23,0.00,0.00,0.00,979.74,0.00
19,2021-08-16,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,171.29","1,040.78",416.06,"1,003.10",0.02,"1,000.15",0.01,0.00,0.00,0.00,"1,003.10","60,668,575,121",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,15.38,0.00,15.73,0.00,0.00,1.41,1.67,1.25,0.73,0.00,0.25,0.00,0.00,0.00,979.74,0.00
20,2021-08-17,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,143.09","1,011.05",411.31,"1,004.95",1.85,"1,000.16",0.01,0.00,0.00,0.00,"1,004.95","60,780,557,982",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,16.66,0.00,17.18,0.00,0.00,1.40,1.65,1.25,0.74,0.18,0.21,0.00,0.00,0.00,971.03,-0.89
21,2021-08-18,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,158.93","1,021.08",413.36,"1,003.85",-1.10,"1,000.18",0.02,0.00,0.00,0.00,"1,003.85","60,714,100,793",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,17.01,0.00,17.28,0.00,0.00,1.39,1.63,1.26,0.75,-0.11,-0.16,0.00,0.00,0.00,975.92,0.50
22,2021-08-19,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,097.83",991.15,404.96,997.79,-6.06,"1,000.19",0.01,0.00,0.00,0.00,997.79,"60,347,395,857",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,19.39,0.00,20.07,0.00,0.00,1.36,1.60,1.23,0.76,-0.60,-0.77,0.00,0.00,0.00,957.05,-1.93
23,2021-08-20,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,060.51",967.90,400.78,993.32,-4.47,"1,000.20",0.01,0.00,0.00,0.00,993.32,"60,077,217,929",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,20.14,0.00,21.08,0.00,0.00,1.36,1.60,1.24,0.76,-0.45,-0.97,0.00,0.00,0.00,945.52,-1.20
24,2021-08-21,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,060.51",967.90,400.78,993.33,0.01,"1,000.21",0.01,0.00,0.00,0.00,993.33,"60,077,923,760",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,20.14,0.00,21.08,0.00,0.00,1.36,1.60,1.24,0.76,0.00,-0.97,0.00,0.00,0.00,945.52,0.00
25,2021-08-22,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,060.51",967.90,400.78,993.34,0.01,"1,000.22",0.01,0.00,0.00,0.00,993.34,"60,078,629,593",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,20.14,0.00,21.08,0.00,0.00,1.36,1.60,1.24,0.76,0.00,-0.97,0.00,0.00,0.00,945.52,0.00
26,2021-08-23,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,090.21",993.18,404.58,"1,001.79",8.45,"1,000.23",0.01,0.00,0.00,0.00,"1,001.79","60,589,689,581",한국투자증권,2021-07-29,"60,481,336,799","60,481,336,799",혼합,배당,투자신탁,국민은행,23.29,0.00,24.18,0.00,0.00,1.39,1.64,1.26,0.77,0.85,-0.13,0.00,0.00,0.00,954.69,0.97
27,2021-08-24,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,138.30","1,013.18",412.48,"1,007.86",6.07,"1,000.24",0.01,0.00,0.00,0.00,"1,007.86","61,962,960,261",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,24.92,0.00,25.93,0.00,0.00,1.44,1.69,1.30,0.77,0.61,0.29,0.00,0.00,0.00,969.55,1.56
28,2021-08-25,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,146.81","1,017.78",413.95,"1,016.71",8.85,"1,000.25",0.01,0.00,0.00,0.00,"1,016.71","62,506,665,625",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,27.81,0.00,28.93,0.00,0.00,1.44,1.69,1.30,0.77,0.88,1.28,0.00,0.00,0.00,972.18,0.27
29,2021-08-26,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,128.53","1,020.44",410.38,"1,017.98",1.27,"1,000.27",0.02,0.00,0.00,0.00,"1,017.98","62,584,956,901",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,28.96,0.00,29.90,0.00,0.00,1.40,1.66,1.27,0.92,0.13,2.02,0.00,0.00,0.00,966.53,-0.58
30,2021-08-27,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,133.90","1,023.51",410.24,"1,018.65",0.67,"1,000.28",0.01,0.00,0.00,0.00,"1,018.65","62,626,035,464",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,30.62,0.00,31.31,0.00,0.00,1.41,1.67,1.28,0.92,0.07,2.55,0.00,0.00,0.00,968.19,0.17
31,2021-08-28,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,133.90","1,023.51",410.24,"1,018.67",0.02,"1,000.30",0.02,0.00,0.00,0.00,"1,018.67","62,627,095,107",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,30.62,0.00,31.31,0.00,0.00,1.41,1.67,1.28,0.92,0.00,2.55,0.00,0.00,0.00,968.19,0.00
32,2021-08-29,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,133.90","1,023.51",410.24,"1,018.68",0.01,"1,000.32",0.02,0.00,0.00,0.00,"1,018.68","62,628,154,751",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,30.62,0.00,31.31,0.00,0.00,1.41,1.67,1.28,0.92,0.00,2.55,1.87,0.00,0.00,968.19,0.00
33,2021-08-30,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,144.19","1,031.84",411.50,"1,016.40",-2.28,"1,000.34",0.02,0.00,0.00,0.00,"1,016.40","62,487,531,571",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,31.70,0.00,32.59,0.00,0.00,1.40,1.65,1.27,0.92,-0.22,1.46,1.64,0.00,0.00,971.37,0.33
34,2021-08-31,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,199.27","1,038.33",419.79,"1,018.06",1.66,"1,000.35",0.01,0.00,0.00,0.00,"1,018.06","62,589,922,452",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,35.16,0.00,37.28,0.00,0.00,1.40,1.65,1.27,0.92,0.16,1.01,1.80,0.00,0.00,988.39,1.75
35,2021-09-01,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,207.02","1,045.98",419.92,"1,021.87",3.81,"1,000.37",0.02,0.00,0.00,0.00,"1,021.87","62,824,070,651",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,39.77,0.00,44.27,0.00,0.00,1.42,1.68,1.28,0.92,0.37,0.51,2.18,0.00,0.00,990.78,0.24
36,2021-09-02,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,175.85","1,047.19",415.89,"1,018.89",-2.98,"1,000.38",0.01,0.00,0.00,0.00,"1,018.89","62,640,990,212",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,42.61,0.00,46.57,0.00,0.00,1.42,1.68,1.29,0.92,-0.29,0.09,1.89,0.00,0.00,981.15,-0.97
37,2021-09-03,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,201.06","1,053.85",419.22,"1,018.25",-0.64,"1,000.39",0.01,0.00,0.00,0.00,"1,018.25","62,601,496,279",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,47.60,0.00,50.87,0.00,0.00,1.44,1.70,1.29,0.92,-0.06,-0.04,1.83,0.00,0.00,988.94,0.79
38,2021-09-04,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,201.06","1,053.85",419.22,"1,018.26",0.01,"1,000.40",0.01,0.00,0.00,0.00,"1,018.26","62,602,081,221",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,47.60,0.00,50.87,0.00,0.00,1.44,1.70,1.29,0.92,0.00,-0.04,1.77,0.00,0.00,988.94,0.00
39,2021-09-05,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,201.06","1,053.85",419.22,"1,018.27",0.01,"1,000.41",0.01,0.00,0.00,0.00,"1,018.27","62,602,666,164",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,47.60,0.00,50.87,0.00,0.00,1.44,1.70,1.29,0.92,0.00,-0.04,1.76,0.00,0.00,988.94,0.00
40,2021-09-06,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,203.33","1,052.96",420.37,"1,018.71",0.44,"1,000.42",0.01,0.00,0.00,0.00,"1,018.71","62,629,823,435",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,49.79,0.00,53.00,0.00,0.00,1.46,1.72,1.30,0.92,0.04,0.23,1.80,0.00,0.00,989.64,0.07
41,2021-09-07,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,187.42","1,054.43",417.80,"1,015.85",-2.86,"1,000.43",0.01,0.00,0.00,0.00,"1,015.85","62,454,232,516",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,52.34,0.00,54.10,0.00,0.00,1.46,1.72,1.30,0.92,-0.28,-0.22,1.51,0.00,0.00,984.73,-0.50
42,2021-09-08,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,162.99","1,037.22",414.54,"1,014.36",-1.49,"1,000.43",0.00,0.00,0.00,0.00,"1,014.36","62,362,646,342",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,54.29,0.00,56.70,0.00,0.00,1.49,1.75,1.31,0.92,-0.15,-0.73,1.36,0.00,0.00,977.18,-0.77
43,2021-09-09,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,114.70","1,034.62",407.28,"1,007.95",-6.41,"1,000.44",0.01,0.00,0.00,0.00,"1,007.95","61,968,058,923",한국투자증권,2021-07-29,"61,479,548,495","61,479,548,495",혼합,배당,투자신탁,국민은행,53.03,0.00,55.77,0.00,0.00,1.50,1.75,1.34,0.93,-0.63,-1.07,0.74,0.00,0.00,962.26,-1.53
44,2021-09-10,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.76","1,037.91",408.70,"1,013.27",5.32,"1,000.45",0.01,0.00,0.00,0.00,"1,013.27","62,295,260,947",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,55.28,0.00,57.91,0.00,0.00,1.50,1.75,1.36,0.96,0.53,-0.49,1.04,0.00,0.00,965.68,0.36
45,2021-09-11,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.76","1,037.91",408.70,"1,013.28",0.01,"1,000.46",0.01,0.00,0.00,0.00,"1,013.28","62,295,889,243",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,55.28,0.00,57.91,0.00,0.00,1.50,1.75,1.36,0.96,0.00,-0.49,0.78,0.00,0.00,965.68,0.00
46,2021-09-12,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.76","1,037.91",408.70,"1,013.29",0.01,"1,000.47",0.01,0.00,0.00,0.00,"1,013.29","62,296,517,539",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,55.28,0.00,57.91,0.00,0.00,1.50,1.75,1.36,0.96,0.00,-0.49,0.77,0.00,0.00,965.68,0.00
47,2021-09-13,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,127.86","1,026.34",409.70,"1,013.44",0.15,"1,000.48",0.01,0.00,0.00,0.00,"1,013.44","62,305,962,368",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,53.88,0.00,55.83,0.00,0.00,1.53,1.76,1.39,1.00,0.02,-0.52,1.04,0.00,0.00,966.33,0.07
48,2021-09-14,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,148.83","1,037.74",412.36,"1,015.33",1.89,"1,000.49",0.01,0.00,0.00,0.00,"1,015.33","62,422,120,480",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,57.56,0.00,60.95,0.00,0.00,1.54,1.78,1.40,1.00,0.19,-0.05,1.22,0.00,0.00,972.80,0.67
49,2021-09-15,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,153.40","1,042.79",412.85,"1,012.07",-3.26,"1,000.50",0.01,0.00,0.00,0.00,"1,012.07","62,221,474,092",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,58.19,0.00,62.05,0.00,0.00,1.49,1.74,1.36,1.01,-0.32,-0.23,0.90,0.00,0.00,974.22,0.15
50,2021-09-16,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,130.09","1,039.43",409.22,"1,010.92",-1.15,"1,000.51",0.01,0.00,0.00,0.00,"1,010.92","62,150,971,027",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,61.47,0.00,63.21,0.00,0.00,1.51,1.76,1.36,1.01,-0.11,0.30,0.78,0.00,0.00,967.01,-0.74
51,2021-09-17,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.43",1.51,"1,000.52",0.01,0.00,0.00,0.00,"1,012.43","62,243,744,054",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.68,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.15,-0.08,0.74,0.00,0.00,970.23,0.33
52,2021-09-18,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.44",0.01,"1,000.53",0.01,0.00,0.00,0.00,"1,012.44","62,244,220,723",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.67,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.00,-0.08,0.86,0.00,0.00,970.23,0.00
53,2021-09-19,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.45",0.01,"1,000.53",0.00,0.00,0.00,0.00,"1,012.45","62,244,697,392",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.67,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.00,-0.08,1.47,0.00,0.00,970.23,0.00
54,2021-09-20,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.46",0.01,"1,000.54",0.01,0.00,0.00,0.00,"1,012.46","62,245,174,061",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.67,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.00,-0.10,1.93,0.00,0.00,970.23,0.00
55,2021-09-21,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.46",0.00,"1,000.55",0.01,0.00,0.00,0.00,"1,012.46","62,245,650,730",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.67,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.00,-0.28,1.93,0.00,0.00,970.23,0.00
56,2021-09-22,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,140.51","1,046.12",410.99,"1,012.47",0.01,"1,000.56",0.01,0.00,0.00,0.00,"1,012.47","62,246,127,404",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,63.67,0.00,67.76,0.00,0.00,1.54,1.79,1.38,1.01,0.00,0.04,1.93,0.00,0.00,970.23,0.00
57,2021-09-23,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,127.58","1,036.26",410.46,"1,003.38",-9.09,"1,000.56",0.00,0.00,0.00,0.00,"1,003.38","61,687,091,661",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,64.92,0.00,70.85,0.00,0.00,1.56,1.82,1.41,1.02,-0.90,-0.75,0.16,0.00,0.00,966.24,-0.41
58,2021-09-24,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.24","1,037.03",409.84,"1,003.41",0.03,"1,000.57",0.01,0.00,0.00,0.00,"1,003.41","61,689,034,171",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,68.39,0.00,72.51,0.00,0.00,1.58,1.86,1.41,1.02,0.00,-0.89,-0.44,0.00,0.00,965.52,-0.07
59,2021-09-25,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.24","1,037.03",409.84,"1,003.42",0.01,"1,000.57",0.00,0.00,0.00,0.00,"1,003.42","61,689,387,052",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,68.39,0.00,72.51,0.00,0.00,1.58,1.86,1.41,1.02,0.00,-0.89,-1.31,0.00,0.00,965.52,0.00
60,2021-09-26,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,125.24","1,037.03",409.84,"1,003.42",0.00,"1,000.58",0.01,0.00,0.00,0.00,"1,003.42","61,689,739,934",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,68.39,0.00,72.51,0.00,0.00,1.58,1.86,1.41,1.02,0.00,-0.89,-1.43,0.00,0.00,965.52,0.00
61,2021-09-27,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,133.64","1,034.82",410.97,"1,004.04",0.62,"1,000.59",0.01,0.00,0.00,0.00,"1,004.04","61,727,727,486",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,71.29,0.00,73.75,0.00,0.00,1.57,1.89,1.41,1.03,0.06,-0.83,-1.43,0.00,0.00,968.11,0.27
62,2021-09-28,100004,라이프한국기업ESG향상일반사모투자신탁제1호,강대권,"3,097.92","1,012.51",406.20,992.20,-11.84,"1,000.59",0.00,0.00,0.00,0.00,992.20,"60,999,723,411",한국투자증권,2021-07-29,"61,479,430,651","61,479,430,651",혼합,배당,투자신탁,국민은행,71.30,0.00,77.91,0.00,0.00,1.61,1.95,1.45,1.04,-1.18,-2.00,-2.60,0.00,0.00,957.08,-1.14
